t_seconds,v_wx,v_wy,v_wz
202,-0.6888168501373961,-3.283618044572455,-0.5829759373394484
203,-0.6889996752424855,-3.2835618180116137,-0.5824056921231997
204,-0.6891825003475748,-3.2835055914507723,-0.5818354469069509
205,-0.689365325452664,-3.2834493648899308,-0.5812652016907021
206,-0.6895481505577533,-3.2833931383290893,-0.5806949564744533
207,-0.6897309756628426,-3.283336911768248,-0.5801247112582046
208,-0.689913800767932,-3.2832806852074063,-0.5795544660419558
209,-0.6900966258730212,-3.283224458646565,-0.578984220825707
210,-0.6902794509781105,-3.2831682320857234,-0.5784139756094583
211,-0.6904622760831998,-3.283112005524882,-0.5778437303932095
212,-0.690645101188289,-3.2830557789640404,-0.5772734851769608
213,-0.6908279262933783,-3.282999552403199,-0.5767032399607119
214,-0.6910107513984677,-3.2829433258423575,-0.5761329947444632
215,-0.691193576503557,-3.282887099281516,-0.5755627495282144
216,-0.6913764016086462,-3.2828308727206745,-0.5749925043119657
217,-0.6915592267137355,-3.282774646159833,-0.5744222590957169
218,-0.6917420518188248,-3.2827184195989916,-0.5738520138794682
219,-0.6919248769239141,-3.28266219303815,-0.5732817686632193
220,-0.6921077020290034,-3.2826059664773086,-0.5727115234469706
221,-0.6922905271340927,-3.282549739916467,-0.5721412782307218
222,-0.6924733522391819,-3.2824935133556257,-0.5715710330144731
223,-0.6926561773442712,-3.282437286794784,-0.5710007877982243
224,-0.6928390024493605,-3.2823810602339427,-0.5704305425819756
225,-0.6930218275544499,-3.2823248336731012,-0.5698602973657267
226,-0.6932046526595391,-3.2822686071122598,-0.569290052149478
227,-0.6933874777646284,-3.2822123805514183,-0.5687198069332292
228,-0.6935703028697177,-3.282156153990577,-0.5681495617169805
229,-0.6937531279748069,-3.2820999274297353,-0.5675793165007317
230,-0.6939359530798963,-3.282043700868894,-0.567009071284483
231,-0.6941187781849856,-3.2819874743080524,-0.5664388260682341
232,-0.6943016032900748,-3.281931247747211,-0.5658685808519854
233,-0.6944844283951641,-3.2818750211863694,-0.5652983356357366
234,-0.6946672535002534,-3.2818187946255284,-0.5647280904194878
235,-0.6948500786053426,-3.281762568064687,-0.5641578452032391
236,-0.695032903710432,-3.2817063415038454,-0.5635875999869904
237,-0.6952157288155213,-3.281650114943004,-0.5630173547707416
238,-0.6953985539206106,-3.2815938883821625,-0.5624471095544927
239,-0.6955813790256998,-3.281537661821321,-0.561876864338244
240,-0.6957642041307891,-3.2814814352604795,-0.5613066191219953
241,-0.6959470292358785,-3.281425208699638,-0.5607363739057465
242,-0.6961298543409677,-3.2813689821387966,-0.5601661286894977
243,-0.696312679446057,-3.281312755577955,-0.559595883473249
244,-0.6964955045511463,-3.2812565290171136,-0.5590256382570002
245,-0.6966783296562356,-3.281200302456272,-0.5584553930407514
246,-0.6968611547613248,-3.2811440758954307,-0.5578851478245026
247,-0.6970439798664142,-3.281087849334589,-0.5573149026082539
248,-0.6972268049715035,-3.2810316227737477,-0.5567446573920051
249,-0.6974096300765927,-3.2809753962129062,-0.5561744121757564
250,-0.697592455181682,-3.2809191696520648,-0.5556041669595075
251,-0.6977752802867713,-3.2808629430912233,-0.5550339217432588
252,-0.6979581053918607,-3.280806716530382,-0.55446367652701
253,-0.6981409304969499,-3.2807504899695403,-0.5538934313107613
254,-0.6983237556020392,-3.280694263408699,-0.5533231860945125
255,-0.6985065807071285,-3.2806380368478574,-0.5527529408782638
256,-0.6986894058122177,-3.280581810287016,-0.5521826956620149
257,-0.6988722309173071,-3.2805255837261744,-0.5516124504457662
258,-0.6990550560223964,-3.280469357165333,-0.5510422052295174
259,-0.6992378811274856,-3.2804131306044915,-0.5504719600132687
260,-0.6994207062325749,-3.28035690404365,-0.5499017147970199
261,-0.6996035313376642,-3.2803006774828085,-0.5493314695807712
262,-0.6997863564427536,-3.280244450921967,-0.5487612243645223
